Date,ReportType,LateCount,TotalCount
2025-07-02,ORGPREP,22,200
2025-07-02,MSSEMI,23,237
2025-07-02,GCSEMI,18,277
2025-07-02,GCVOA,9,116
2025-07-02,GENCHEM,20,242
2025-07-02,HG,5,84
2025-07-02,EXTLCMS,121,472
2025-07-02,LCMSPFAS,6,690
2025-07-02,MSVOA,0,259
2025-07-02,METALS,19,269
2025-07-02,ORGPREP,22,200
2025-07-02,MSSEMI,23,237
2025-07-02,GCSEMI,18,277
2025-07-02,GCVOA,9,116
2025-07-02,GENCHEM,20,242
2025-07-02,HG,5,84
2025-07-02,EXTLCMS,121,472
2025-07-02,LCMSPFAS,6,690
2025-07-02,MSVOA,0,259
2025-07-02,METALS,19,269
2025-07-02,ORGPREP,22,200
2025-07-02,MSSEMI,23,237
2025-07-02,GCSEMI,18,277
2025-07-02,GCVOA,9,116
2025-07-02,GENCHEM,20,242
2025-07-02,HG,5,84
2025-07-02,EXTLCMS,121,472
2025-07-02,METALS,19,269
2025-07-02,ORGPREP,22,200
2025-07-02,MSSEMI,23,237
2025-07-02,GCSEMI,18,277
2025-07-02,GCVOA,9,116
2025-07-02,GENCHEM,20,242
2025-07-02,HG,5,84
2025-07-02,EXTLCMS,121,472
2025-07-02,LCMSPFAS,6,690
2025-07-02,MSVOA,0,259
2025-07-02,METALS,19,269
2025-07-02,ORGPREP,22,200
2025-07-02,MSSEMI,23,237
2025-07-02,GCSEMI,18,277
2025-07-02,GCVOA,9,116
2025-07-02,GENCHEM,20,242
2025-07-02,HG,5,84
2025-07-02,EXTLCMS,121,472
2025-07-02,LCMSPFAS,6,690
2025-07-02,MSVOA,0,259
2025-07-02,METALS,8,239
2025-07-02,ORGPREP,13,154
2025-07-02,MSSEMI,6,206
2025-07-02,GCSEMI,8,249
2025-07-02,GCVOA,0,74
2025-07-02,GENCHEM,9,219
2025-07-02,HG,5,100
2025-07-02,EXTLCMS,170,607
2025-07-02,LCMSPFAS,25,758
2025-07-02,MSVOA,0,139
2025-07-03,METALS,11,239
2025-07-03,ORGPREP,26,154
2025-07-03,MSSEMI,17,206
2025-07-03,GCSEMI,14,249
2025-07-03,GCVOA,2,74
2025-07-03,GENCHEM,9,219
2025-07-03,HG,6,100
2025-07-03,EXTLCMS,319,607
2025-07-03,LCMSPFAS,46,758
2025-07-03,MSVOA,1,139
2025-07-03,METALS,11,239
2025-07-03,ORGPREP,26,154
2025-07-03,MSSEMI,17,206
2025-07-03,GCSEMI,14,249
2025-07-03,GCVOA,2,74
2025-07-03,GENCHEM,9,219
2025-07-03,HG,6,100
2025-07-03,EXTLCMS,319,607
2025-07-03,LCMSPFAS,46,758
2025-07-03,MSVOA,1,139
2025-07-03,METALS,23,220
2025-07-03,ORGPREP,16,144
2025-07-03,MSSEMI,17,231
2025-07-03,GCSEMI,10,216
2025-07-03,GCVOA,0,79
2025-07-03,GENCHEM,24,245
2025-07-03,HG,20,90
2025-07-03,EXTLCMS,252,695
2025-07-03,LCMSPFAS,46,822
2025-07-03,MSVOA,0,187
2025-07-04,METALS,23,220
2025-07-04,ORGPREP,25,144
2025-07-04,MSSEMI,18,231
2025-07-04,GCSEMI,31,216
2025-07-04,GCVOA,0,79
2025-07-04,GENCHEM,25,245
2025-07-04,HG,20,90
2025-07-04,EXTLCMS,308,695
2025-07-04,LCMSPFAS,46,822
2025-07-04,MSVOA,2,187
2025-07-04,METALS,23,220
2025-07-04,ORGPREP,25,144
2025-07-04,MSSEMI,18,231
2025-07-04,GCSEMI,31,216
2025-07-04,GCVOA,0,79
2025-07-04,GENCHEM,25,245
2025-07-04,HG,20,90
2025-07-04,EXTLCMS,308,695
2025-07-04,LCMSPFAS,46,822
2025-07-04,MSVOA,2,187
2025-07-04,METALS,5,182
2025-07-04,ORGPREP,6,157
2025-07-04,MSSEMI,8,233
2025-07-04,GCSEMI,22,205
2025-07-04,GCVOA,2,123
2025-07-04,GENCHEM,5,250
2025-07-04,HG,4,69
2025-07-04,EXTLCMS,168,624
2025-07-04,LCMSPFAS,38,877
2025-07-04,MSVOA,0,263
2025-07-04,METALS,5,182
2025-07-04,ORGPREP,6,157
2025-07-04,MSSEMI,8,233
2025-07-04,GCSEMI,22,205
2025-07-04,GCVOA,2,123
2025-07-04,GENCHEM,5,250
2025-07-04,HG,4,69
2025-07-04,EXTLCMS,168,624
2025-07-04,LCMSPFAS,38,877
2025-07-04,MSVOA,0,263
2025-07-07,METALS,5,122
2025-07-07,ORGPREP,13,182
2025-07-07,MSSEMI,8,245
2025-07-07,GCSEMI,31,229
2025-07-07,GCVOA,0,121
2025-07-07,GENCHEM,5,250
2025-07-07,HG,4,30
2025-07-07,EXTLCMS,309,590
2025-07-07,LCMSPFAS,31,829
2025-07-07,MSVOA,0,266
2025-07-08,METALS,4,109
2025-07-08,ORGPREP,15,101
2025-07-08,MSSEMI,14,174
2025-07-08,GCSEMI,51,202
2025-07-08,GCVOA,0,86
2025-07-08,GENCHEM,4,163
2025-07-08,HG,4,27
2025-07-08,EXTLCMS,271,485
2025-07-08,LCMSPFAS,2,701
2025-07-08,MSVOA,2,200
2025-07-09,METALS,14,110
2025-07-09,ORGPREP,13,60
2025-07-09,MSSEMI,16,115
2025-07-09,GCSEMI,45,143
2025-07-09,GCVOA,3,69
2025-07-09,GENCHEM,12,140
2025-07-09,HG,4,23
2025-07-09,EXTLCMS,377,656
2025-07-09,LCMSPFAS,8,855
2025-07-09,MSVOA,7,146
2025-07-10,METALS,30,136
2025-07-10,ORGPREP,14,67
2025-07-10,MSSEMI,4,58
2025-07-10,GCSEMI,19,128
2025-07-10,GCVOA,0,54
2025-07-10,GENCHEM,11,161
2025-07-10,HG,19,41
2025-07-10,EXTLCMS,341,599
2025-07-10,LCMSPFAS,11,817
2025-07-10,MSVOA,3,169
2025-07-11,METALS,22,181
2025-07-11,ORGPREP,12,108
2025-07-11,MSSEMI,5,61
2025-07-11,GCSEMI,18,156
2025-07-11,GCVOA,0,70
2025-07-11,GENCHEM,14,221
2025-07-11,HG,4,45
2025-07-11,EXTLCMS,300,700
2025-07-11,LCMSPFAS,17,924
2025-07-11,MSVOA,0,192
2025-07-18,METALS,89,181
2025-07-18,ORGPREP,52,108
2025-07-18,MSSEMI,28,61
2025-07-18,GCSEMI,84,156
2025-07-18,GCVOA,56,70
